ID,endpoint
C491022,https://myntfintech.testrail.io/index.php?/api/v2/get_case/491022
C491023,https://myntfintech.testrail.io/index.php?/api/v2/get_case/491023
C491024,https://myntfintech.testrail.io/index.php?/api/v2/get_case/491024
C491025,https://myntfintech.testrail.io/index.php?/api/v2/get_case/491025
C491026,https://myntfintech.testrail.io/index.php?/api/v2/get_case/491026
C491027,https://myntfintech.testrail.io/index.php?/api/v2/get_case/491027
C491028,https://myntfintech.testrail.io/index.php?/api/v2/get_case/491028
C491029,https://myntfintech.testrail.io/index.php?/api/v2/get_case/491029
C491030,https://myntfintech.testrail.io/index.php?/api/v2/get_case/491030
C491031,https://myntfintech.testrail.io/index.php?/api/v2/get_case/491031
C491032,https://myntfintech.testrail.io/index.php?/api/v2/get_case/491032
C491033,https://myntfintech.testrail.io/index.php?/api/v2/get_case/491033
C491034,https://myntfintech.testrail.io/index.php?/api/v2/get_case/491034
C491035,https://myntfintech.testrail.io/index.php?/api/v2/get_case/491035
C491638,https://myntfintech.testrail.io/index.php?/api/v2/get_case/491638
C491639,https://myntfintech.testrail.io/index.php?/api/v2/get_case/491639
C491640,https://myntfintech.testrail.io/index.php?/api/v2/get_case/491640
C491641,https://myntfintech.testrail.io/index.php?/api/v2/get_case/491641
C491654,https://myntfintech.testrail.io/index.php?/api/v2/get_case/491654
C491655,https://myntfintech.testrail.io/index.php?/api/v2/get_case/491655
C491656,https://myntfintech.testrail.io/index.php?/api/v2/get_case/491656
C491657,https://myntfintech.testrail.io/index.php?/api/v2/get_case/491657
C491658,https://myntfintech.testrail.io/index.php?/api/v2/get_case/491658
C491659,https://myntfintech.testrail.io/index.php?/api/v2/get_case/491659
C491660,https://myntfintech.testrail.io/index.php?/api/v2/get_case/491660
C491661,https://myntfintech.testrail.io/index.php?/api/v2/get_case/491661
C491662,https://myntfintech.testrail.io/index.php?/api/v2/get_case/491662
C491663,https://myntfintech.testrail.io/index.php?/api/v2/get_case/491663
C491664,https://myntfintech.testrail.io/index.php?/api/v2/get_case/491664
C491665,https://myntfintech.testrail.io/index.php?/api/v2/get_case/491665
C491666,https://myntfintech.testrail.io/index.php?/api/v2/get_case/491666
C491667,https://myntfintech.testrail.io/index.php?/api/v2/get_case/491667
C491668,https://myntfintech.testrail.io/index.php?/api/v2/get_case/491668
C491669,https://myntfintech.testrail.io/index.php?/api/v2/get_case/491669
C491670,https://myntfintech.testrail.io/index.php?/api/v2/get_case/491670
C491671,https://myntfintech.testrail.io/index.php?/api/v2/get_case/491671
C670737,https://myntfintech.testrail.io/index.php?/api/v2/get_case/670737
C670739,https://myntfintech.testrail.io/index.php?/api/v2/get_case/670739
